ds,y
2025-11-24,2564.85
2025-11-25,3603.61
2025-11-26,3194.75
2025-11-27,4196.79
2025-11-28,3475.04
2025-11-29,2836.78
2025-11-30,2379.26
2025-12-01,2751.87
2025-12-02,3146.68
2025-12-03,3534.52
2025-12-04,3568.88
2025-12-05,3311.66
2025-12-06,2886.07
2025-12-07,2292.25
2025-12-08,2519.34
2025-12-09,3516.81
2025-12-10,3430.72
2025-12-11,3099.37
2025-12-12,3431.64
2025-12-13,3301.87
2025-12-14,2527.72
2025-12-15,2745.59
2025-12-16,3323.53
2025-12-17,3069.77
2025-12-18,3626.6
2025-12-19,3594.09
2025-12-20,3557.37
2025-12-21,3155.19
2025-12-22,2332.35
2025-12-23,3070.9
2025-12-24,3613.35
2025-12-25,3719.57
2025-12-26,3626.55
2025-12-27,4434.45
2025-12-28,3056.49
2025-12-29,3132.49
2025-12-30,3684.62
2025-12-31,3700.43
2026-01-01,3517.03
2026-01-02,3745.9
2026-01-03,3092.95
2026-01-04,2860.35
2026-01-05,2692.39
2026-01-06,3469.15
2026-01-07,4245.58
2026-01-08,3097.6
2026-01-09,3770.26
2026-01-10,2887.16
2026-01-11,2835.99
2026-01-12,3210.85
2026-01-13,3510.05
2026-01-14,3274.04
2026-01-15,3489.37
2026-01-16,3814.43
2026-01-17,3198.04
2026-01-18,3088.68
2026-01-19,2944.01
2026-01-20,3341.46
2026-01-21,4286.72
2026-01-22,3940.31
2026-01-23,3049.19
2026-01-24,3519.26
2026-01-25,2871.38
2026-01-26,3232.25
2026-01-27,3345.36
2026-01-28,3655.29
2026-01-29,3947.8
2026-01-30,3962.63
2026-01-31,3149.41
2026-02-01,3015.74
2026-02-02,2880.21
2026-02-03,3433.29
2026-02-04,4265.52
2026-02-05,3963.97
2026-02-06,3370.81
2026-02-07,3831.03
2026-02-08,3798.92
2026-02-09,3378.61
2026-02-10,3219.65
2026-02-11,3636.79
2026-02-12,4268.73
2026-02-13,3582.95
2026-02-14,3734.99
2026-02-15,3440.83
2026-02-16,2836.96
2026-02-17,3703.78
2026-02-18,2855.85
2026-02-19,3627.51
2026-02-20,3765.65
2026-02-21,3273.69
2026-02-22,3744.34
2026-02-23,2732.17
2026-02-24,3635.8
2026-02-25,3913.63
2026-02-26,4413.38
2026-02-27,3456.84
2026-02-28,4043.14
2026-03-01,3303.86
2026-03-02,2912.94
2026-03-03,3952.62
2026-03-04,3980.3
2026-03-05,3847.11
2026-03-06,3954.71
2026-03-07,3624.78
2026-03-08,3381.02
2026-03-09,3452.2
2026-03-10,4335.96
2026-03-11,3595.41
2026-03-12,4713.26
2026-03-13,3394.32
2026-03-14,3741.01
2026-03-15,3569.64
2026-03-16,3384.03
2026-03-17,3719.52
2026-03-18,3950.49
2026-03-19,3971.62
2026-03-20,3849.31
2026-03-21,4087.6
2026-03-22,3546.42
2026-03-23,3138.04
2026-03-24,4222.39
2026-03-25,4151.29
2026-03-26,4409.56
2026-03-27,4261.18
2026-03-28,3630.19
2026-03-29,3317.43
2026-03-30,3616.27
2026-03-31,4181.79
2026-04-01,4099.01
2026-04-02,4247.07
2026-04-03,4501.77
2026-04-04,3747.59
2026-04-05,3695.79
2026-04-06,3377.6
2026-04-07,3979.55
2026-04-08,4481.08
2026-04-09,4505.67
2026-04-10,4408.7
2026-04-11,4362.88
2026-04-12,3584.14
2026-04-13,3689.02
2026-04-14,3997.95
2026-04-15,4294.88
2026-04-16,4265.18
2026-04-17,4239.92
2026-04-18,4195.96
2026-04-19,3378.54
2026-04-20,4158.32
2026-04-21,3835.4
2026-04-22,3879.54
2026-04-23,4697.83
2026-04-24,4494.49
2026-04-25,4250.82
2026-04-26,3858.69
2026-04-27,3573.11
2026-04-28,3914.2
2026-04-29,4312.71
2026-04-30,4193.42
2026-05-01,4595.7
2026-05-02,4065.65
2026-05-03,3468.71
2026-05-04,3526.54
2026-05-05,4353.43
2026-05-06,4167.03
2026-05-07,4196.08
2026-05-08,4422.45
2026-05-09,4229.43
2026-05-10,3610.45
2026-05-11,3527.82
2026-05-12,4345.34
2026-05-13,3947.9
2026-05-14,4066.68
2026-05-15,4179.98
2026-05-16,4138.08
2026-05-17,3901.98
2026-05-18,4157.91
2026-05-19,4579.2
2026-05-20,4380.51
2026-05-21,4529.39
2026-05-22,4140.93
2026-05-23,4242.73
2026-05-24,3768.28
2026-05-25,3858.29
2026-05-26,4119.9
2026-05-27,4630.47
2026-05-28,5041.09
2026-05-29,4455.23
2026-05-30,4414.97
2026-05-31,4108.1
2026-06-01,3687.29
2026-06-02,4481.48
2026-06-03,4524.62
2026-06-04,4656.74
2026-06-05,4302.13
2026-06-06,4347.99
2026-06-07,4096.63
2026-06-08,4289.17
2026-06-09,4748.2
2026-06-10,5212.97
2026-06-11,4443.41
2026-06-12,4841.91
2026-06-13,4441.81
2026-06-14,4650.34
2026-06-15,3657.51
